"cost.vals","data.type","gaps","sd","convg"
"0_1.3_1.6","real",21.1818181818182,7.25571081773908,"converged and non-converged"
"0_1.3_1.7","real",21.5454545454545,7.23741715908635,"converged and non-converged"
"0_1.3_1.8","real",22,6.14260901975864,"converged and non-converged"
"0_1.3_1.9","real",23.2727272727273,6.44795040628316,"converged and non-converged"
"0_1.3_2","real",21.4545454545455,5.60519239796297,"converged and non-converged"
"0_1.4_1.5","real",22.0909090909091,8.12820176801659,"converged and non-converged"
"0_1.4_1.6","real",21.5454545454545,6.7823639167472,"converged and non-converged"
"0_1.4_1.7","real",21.2727272727273,7.33407953800171,"converged and non-converged"
"0_1.4_1.8","real",22.8181818181818,6.9082429374852,"converged and non-converged"
"0_1.4_1.9","real",22.8181818181818,6.45822193873023,"converged and non-converged"
"0_1.4_2","real",22.9090909090909,6.04471257029955,"converged and non-converged"
"0_1.5_1.6","real",22.3636363636364,8.15974006219706,"converged and non-converged"
"0_1.5_1.7","real",20.7272727272727,6.54614495783403,"converged and non-converged"
"0_1.5_1.8","real",21,7.40714673709183,"converged and non-converged"
"0_1.5_1.9","real",22.5454545454545,6.63290260806347,"converged and non-converged"
"0_1.5_2","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0_1.6_1.7","real",20.6363636363636,7.24885610594175,"converged and non-converged"
"0_1.6_1.8","real",21.6363636363636,8.12616283614756,"converged and non-converged"
"0_1.6_1.9","real",21.7272727272727,7.50603899562962,"converged and non-converged"
"0_1.6_2","real",21.4545454545455,6.53601160043085,"converged and non-converged"
"0_1.7_1.8","real",20.6363636363636,7.24885610594175,"converged and non-converged"
"0_1.7_1.9","real",20.2727272727273,7.0811830261251,"converged and non-converged"
"0_1.7_2","real",21.0909090909091,7.79625474392807,"converged and non-converged"
"0_1.8_1.9","real",20.3636363636364,6.80796933675664,"converged and non-converged"
"0_1.8_2","real",20.7272727272727,6.54614495783403,"converged and non-converged"
"0_1.9_2","real",20.9090909090909,6.56510284565239,"converged and non-converged"
"0.1_0.2_0.3","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.2_0.4","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.1_0.2_0.5","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.1_0.2_0.6","real",29.9090909090909,11.4914087086036,"converged and non-converged"
"0.1_0.2_0.7","real",29.9090909090909,8.95003391164317,"converged and non-converged"
"0.1_0.2_0.8","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.1_0.2_0.9","real",32.6363636363636,8.54172726783446,"converged and non-converged"
"0.1_0.2_1","real",31.5454545454545,6.88902664730626,"converged and non-converged"
"0.1_0.2_1.1","real",32.0909090909091,6.90344387963787,"converged and non-converged"
"0.1_0.2_1.2","real",32.0909090909091,5.49170312581574,"converged and non-converged"
"0.1_0.2_1.3","real",30.7272727272727,8.6879147043604,"converged and non-converged"
"0.1_0.2_1.4","real",30.4545454545455,8.55335922138668,"converged and non-converged"
"0.1_0.2_1.5","real",31.2727272727273,8.60358262947131,"converged and non-converged"
"0.1_0.2_1.6","real",31.8181818181818,8.77898945929155,"converged and non-converged"
"0.1_0.2_1.7","real",31.9090909090909,8.8166596149788,"converged and non-converged"
"0.1_0.2_1.8","real",31.8181818181818,8.78936484664078,"converged and non-converged"
"0.1_0.2_1.9","real",31.8181818181818,8.78936484664078,"converged and non-converged"
"0.1_0.2_2","real",32,8.93520982873622,"converged and non-converged"
"0.1_0.3_0.4","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.1_0.3_0.5","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.3_0.6","real",26.8181818181818,5.15553262872478,"converged and non-converged"
"0.1_0.3_0.7","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.1_0.3_0.8","real",24.9090909090909,9.71189108971832,"converged and non-converged"
"0.1_0.3_0.9","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.1_0.3_1","real",31.4545454545455,7.39931262941377,"converged and non-converged"
"0.1_0.3_1.1","real",29.9090909090909,11.4914087086036,"converged and non-converged"
"0.1_0.3_1.2","real",31.6363636363636,10.4950423936566,"converged and non-converged"
"0.1_0.3_1.3","real",29.9090909090909,8.95003391164317,"converged and non-converged"
"0.1_0.3_1.4","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.1_0.3_1.5","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.1_0.3_1.6","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.1_0.3_1.7","real",32.6363636363636,8.54172726783446,"converged and non-converged"
"0.1_0.3_1.8","real",30.7272727272727,8.75063042279341,"converged and non-converged"
"0.1_0.3_1.9","real",31.5454545454545,6.88902664730626,"converged and non-converged"
"0.1_0.3_2","real",32.0909090909091,6.90344387963787,"converged and non-converged"
"0.1_0.4_0.5","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.1_0.4_0.6","real",22.2727272727273,6.92501344961367,"converged and non-converged"
"0.1_0.4_0.7","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.4_0.8","real",25,7.44396790884056,"converged and non-converged"
"0.1_0.4_0.9","real",28.3636363636364,8.35837128517581,"converged and non-converged"
"0.1_0.4_1","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.1_0.4_1.1","real",26,10.2198615264715,"converged and non-converged"
"0.1_0.4_1.2","real",26.9090909090909,11.3798319571948,"converged and non-converged"
"0.1_0.4_1.3","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.1_0.4_1.4","real",30.9090909090909,7.64277225743751,"converged and non-converged"
"0.1_0.4_1.5","real",31.6363636363636,7.86397592673672,"converged and non-converged"
"0.1_0.4_1.6","real",29.9090909090909,11.4914087086036,"converged and non-converged"
"0.1_0.4_1.7","real",30.7272727272727,11.101208219629,"converged and non-converged"
"0.1_0.4_1.8","real",31.5454545454545,10.5218496975906,"converged and non-converged"
"0.1_0.4_1.9","real",29.9090909090909,8.95003391164317,"converged and non-converged"
"0.1_0.4_2","real",29.9090909090909,8.89897267185934,"converged and non-converged"
"0.1_0.5_0.6","real",21.4545454545455,6.53601160043085,"converged and non-converged"
"0.1_0.5_0.7","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.1_0.5_0.8","real",22.3636363636364,7.01889608032639,"converged and non-converged"
"0.1_0.5_0.9","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.5_1","real",25.4545454545455,7.53358418542869,"converged and non-converged"
"0.1_0.5_1.1","real",26.8181818181818,5.15553262872478,"converged and non-converged"
"0.1_0.5_1.2","real",28.5454545454545,8.04830068048518,"converged and non-converged"
"0.1_0.5_1.3","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.1_0.5_1.4","real",25.9090909090909,10.2772610340175,"converged and non-converged"
"0.1_0.5_1.5","real",24.9090909090909,9.71189108971832,"converged and non-converged"
"0.1_0.5_1.6","real",26.4545454545455,10.9463804569968,"converged and non-converged"
"0.1_0.5_1.7","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.1_0.5_1.8","real",30,9.6132819512078,"converged and non-converged"
"0.1_0.5_1.9","real",31.4545454545455,7.39931262941377,"converged and non-converged"
"0.1_0.5_2","real",31.4545454545455,8.03696866750677,"converged and non-converged"
"0.1_0.6_0.7","real",21,7.40714673709183,"converged and non-converged"
"0.1_0.6_0.8","real",22.0909090909091,6.28132197500971,"converged and non-converged"
"0.1_0.6_0.9","real",21.5454545454545,5.70191658166425,"converged and non-converged"
"0.1_0.6_1","real",22.6363636363636,7.67630521019664,"converged and non-converged"
"0.1_0.6_1.1","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.6_1.2","real",24.5454545454545,7.7482838962682,"converged and non-converged"
"0.1_0.6_1.3","real",23.9090909090909,8.57560969862243,"converged and non-converged"
"0.1_0.6_1.4","real",28.3636363636364,6.17623792001644,"converged and non-converged"
"0.1_0.6_1.5","real",27.3636363636364,7.94468795758419,"converged and non-converged"
"0.1_0.6_1.6","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.1_0.6_1.7","real",27.5454545454545,11.7184461122854,"converged and non-converged"
"0.1_0.6_1.8","real",25.8181818181818,10.4213642648908,"converged and non-converged"
"0.1_0.6_1.9","real",25.9090909090909,11.1369753947656,"converged and non-converged"
"0.1_0.6_2","real",26.0909090909091,10.7114900182919,"converged and non-converged"
"0.1_0.7_0.8","real",21,7.73222747803968,"converged and non-converged"
"0.1_0.7_0.9","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.1_0.7_1","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.1_0.7_1.1","real",22.2727272727273,6.92501344961367,"converged and non-converged"
"0.1_0.7_1.2","real",23,8.57077755213034,"converged and non-converged"
"0.1_0.7_1.3","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.7_1.4","real",24.3636363636364,9.91452538343749,"converged and non-converged"
"0.1_0.7_1.5","real",25,7.44396790884056,"converged and non-converged"
"0.1_0.7_1.6","real",26.8181818181818,5.15553262872478,"converged and non-converged"
"0.1_0.7_1.7","real",28.3636363636364,8.35837128517581,"converged and non-converged"
"0.1_0.7_1.8","real",27.9090909090909,7.57088481572533,"converged and non-converged"
"0.1_0.7_1.9","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.1_0.7_2","real",27.5454545454545,11.7184461122854,"converged and non-converged"
"0.1_0.8_0.9","real",21.5454545454545,6.7823639167472,"converged and non-converged"
"0.1_0.8_1","real",22.8181818181818,6.9082429374852,"converged and non-converged"
"0.1_0.8_1.1","real",22.9090909090909,6.04471257029955,"converged and non-converged"
"0.1_0.8_1.2","real",21.4545454545455,7.0070817375288,"converged and non-converged"
"0.1_0.8_1.3","real",22,6.97627081114113,"converged and non-converged"
"0.1_0.8_1.4","real",22.8181818181818,8.2325241205056,"converged and non-converged"
"0.1_0.8_1.5","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.8_1.6","real",23.5454545454545,9.78583085975075,"converged and non-converged"
"0.1_0.8_1.7","real",25.2727272727273,7.78029732511578,"converged and non-converged"
"0.1_0.8_1.8","real",25.4545454545455,8.74305247772815,"converged and non-converged"
"0.1_0.8_1.9","real",28.3636363636364,6.17623792001644,"converged and non-converged"
"0.1_0.8_2","real",28.4545454545455,7.9342522668095,"converged and non-converged"
"0.1_0.9_1","real",21.6363636363636,8.12616283614756,"converged and non-converged"
"0.1_0.9_1.1","real",21.4545454545455,6.53601160043085,"converged and non-converged"
"0.1_0.9_1.2","real",22,6.47487842611052,"converged and non-converged"
"0.1_0.9_1.3","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.1_0.9_1.4","real",21.5454545454545,5.70191658166425,"converged and non-converged"
"0.1_0.9_1.5","real",22.3636363636364,7.01889608032639,"converged and non-converged"
"0.1_0.9_1.6","real",22.8181818181818,8.69554070074144,"converged and non-converged"
"0.1_0.9_1.7","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_0.9_1.8","real",23.9090909090909,9.90700139496386,"converged and non-converged"
"0.1_0.9_1.9","real",25.4545454545455,7.53358418542869,"converged and non-converged"
"0.1_0.9_2","real",23.2727272727273,8.44318996866413,"converged and non-converged"
"0.1_1_1.1","real",20.7272727272727,6.54614495783403,"converged and non-converged"
"0.1_1_1.2","real",21.2727272727273,7.23398194783717,"converged and non-converged"
"0.1_1_1.3","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.1_1_1.4","real",23.3636363636364,6.43637533887489,"converged and non-converged"
"0.1_1_1.5","real",21.8181818181818,6.41574587767147,"converged and non-converged"
"0.1_1_1.6","real",22.2727272727273,6.92501344961367,"converged and non-converged"
"0.1_1_1.7","real",23.1818181818182,7.71828489686258,"converged and non-converged"
"0.1_1_1.8","real",23.3636363636364,9.20919138599527,"converged and non-converged"
"0.1_1_1.9","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.1_1_2","real",23.5454545454545,9.78583085975075,"converged and non-converged"
"0.1_1.1_1.2","real",21.3636363636364,6.07206435057801,"converged and non-converged"
"0.1_1.1_1.3","real",21,7.40714673709183,"converged and non-converged"
"0.1_1.1_1.4","real",21.6363636363636,7.12201727283236,"converged and non-converged"
"0.1_1.1_1.5","real",22.0909090909091,6.28132197500971,"converged and non-converged"
"0.1_1.1_1.6","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.1_1.1_1.7","real",21.5454545454545,5.70191658166425,"converged and non-converged"
"0.1_1.1_1.8","real",22.1818181818182,7.12899394448679,"converged and non-converged"
"0.1_1.1_1.9","real",22.6363636363636,7.67630521019664,"converged and non-converged"
"0.1_1.1_2","real",23.7272727272727,9.22716757211619,"converged and non-converged"
"0.1_1.2_1.3","real",21.0909090909091,6.91663327640856,"converged and non-converged"
"0.1_1.2_1.4","real",21.4545454545455,7.83018854844874,"converged and non-converged"
"0.1_1.2_1.5","real",22.6363636363636,5.81130203141647,"converged and non-converged"
"0.1_1.2_1.6","real",21.8181818181818,6.45822193873023,"converged and non-converged"
"0.1_1.2_1.7","real",23.2727272727273,6.44795040628316,"converged and non-converged"
"0.1_1.2_1.8","real",21.1818181818182,5.54724451859993,"converged and non-converged"
"0.1_1.2_1.9","real",21.1818181818182,5.8510864707657,"converged and non-converged"
"0.1_1.2_2","real",22.1818181818182,7.05187094142068,"converged and non-converged"
"0.1_1.3_1.4","real",21.2727272727273,7.49388703697219,"converged and non-converged"
"0.1_1.3_1.5","real",21,7.73222747803968,"converged and non-converged"
"0.1_1.3_1.6","real",21.4545454545455,6.53601160043085,"converged and non-converged"
"0.1_1.3_1.7","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.1_1.3_1.8","real",23.0909090909091,5.63908765237856,"converged and non-converged"
"0.1_1.3_1.9","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.1_1.3_2","real",21.4545454545455,5.79702713382762,"converged and non-converged"
"0.1_1.4_1.5","real",22.1818181818182,8.04212156196929,"converged and non-converged"
"0.1_1.4_1.6","real",21.7272727272727,7.65035706199812,"converged and non-converged"
"0.1_1.4_1.7","real",21.1818181818182,7.25571081773908,"converged and non-converged"
"0.1_1.4_1.8","real",21.5454545454545,7.23741715908635,"converged and non-converged"
"0.1_1.4_1.9","real",22,6.14260901975864,"converged and non-converged"
"0.1_1.4_2","real",23.2727272727273,6.44795040628316,"converged and non-converged"
"0.1_1.5_1.6","real",22.0909090909091,8.12820176801659,"converged and non-converged"
"0.1_1.5_1.7","real",21.5454545454545,6.7823639167472,"converged and non-converged"
"0.1_1.5_1.8","real",21.2727272727273,7.33407953800171,"converged and non-converged"
"0.1_1.5_1.9","real",22.8181818181818,6.9082429374852,"converged and non-converged"
"0.1_1.5_2","real",22.8181818181818,6.45822193873023,"converged and non-converged"
"0.1_1.6_1.7","real",22.3636363636364,8.15974006219706,"converged and non-converged"
"0.1_1.6_1.8","real",20.7272727272727,6.54614495783403,"converged and non-converged"
"0.1_1.6_1.9","real",21,7.40714673709183,"converged and non-converged"
"0.1_1.6_2","real",22.5454545454545,6.63290260806347,"converged and non-converged"
"0.1_1.7_1.8","real",20.6363636363636,7.24885610594175,"converged and non-converged"
"0.1_1.7_1.9","real",21.6363636363636,8.12616283614756,"converged and non-converged"
"0.1_1.7_2","real",21.7272727272727,7.50603899562962,"converged and non-converged"
"0.1_1.8_1.9","real",20.6363636363636,7.24885610594175,"converged and non-converged"
"0.1_1.8_2","real",20.2727272727273,7.0811830261251,"converged and non-converged"
"0.1_1.9_2","real",20.3636363636364,6.80796933675664,"converged and non-converged"
"0.2_0.3_0.4","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_0.3_0.5","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.2_0.3_0.6","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.2_0.3_0.7","real",29.9090909090909,11.4914087086036,"converged and non-converged"
"0.2_0.3_0.8","real",29.9090909090909,8.95003391164317,"converged and non-converged"
"0.2_0.3_0.9","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.2_0.3_1","real",32.6363636363636,8.54172726783446,"converged and non-converged"
"0.2_0.3_1.1","real",31.5454545454545,6.88902664730626,"converged and non-converged"
"0.2_0.3_1.2","real",32.0909090909091,6.90344387963787,"converged and non-converged"
"0.2_0.3_1.3","real",32.0909090909091,5.49170312581574,"converged and non-converged"
"0.2_0.3_1.4","real",30.7272727272727,8.6879147043604,"converged and non-converged"
"0.2_0.3_1.5","real",30.4545454545455,8.55335922138668,"converged and non-converged"
"0.2_0.3_1.6","real",31.2727272727273,8.60358262947131,"converged and non-converged"
"0.2_0.3_1.7","real",31.8181818181818,8.77898945929155,"converged and non-converged"
"0.2_0.3_1.8","real",31.9090909090909,8.8166596149788,"converged and non-converged"
"0.2_0.3_1.9","real",31.8181818181818,8.78936484664078,"converged and non-converged"
"0.2_0.3_2","real",31.8181818181818,8.78936484664078,"converged and non-converged"
"0.2_0.4_0.5","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.2_0.4_0.6","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_0.4_0.7","real",26.8181818181818,5.15553262872478,"converged and non-converged"
"0.2_0.4_0.8","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.2_0.4_0.9","real",24.9090909090909,9.71189108971832,"converged and non-converged"
"0.2_0.4_1","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.2_0.4_1.1","real",31.4545454545455,7.39931262941377,"converged and non-converged"
"0.2_0.4_1.2","real",29.9090909090909,11.4914087086036,"converged and non-converged"
"0.2_0.4_1.3","real",31.6363636363636,10.4950423936566,"converged and non-converged"
"0.2_0.4_1.4","real",29.9090909090909,8.95003391164317,"converged and non-converged"
"0.2_0.4_1.5","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.2_0.4_1.6","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.2_0.4_1.7","real",30.1818181818182,8.66404020276989,"converged and non-converged"
"0.2_0.4_1.8","real",32.6363636363636,8.54172726783446,"converged and non-converged"
"0.2_0.4_1.9","real",30.7272727272727,8.75063042279341,"converged and non-converged"
"0.2_0.4_2","real",31.5454545454545,6.88902664730626,"converged and non-converged"
"0.2_0.5_0.6","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.2_0.5_0.7","real",22.2727272727273,6.92501344961367,"converged and non-converged"
"0.2_0.5_0.8","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_0.5_0.9","real",25,7.44396790884056,"converged and non-converged"
"0.2_0.5_1","real",28.3636363636364,8.35837128517581,"converged and non-converged"
"0.2_0.5_1.1","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.2_0.5_1.2","real",26,10.2198615264715,"converged and non-converged"
"0.2_0.5_1.3","real",26.9090909090909,11.3798319571948,"converged and non-converged"
"0.2_0.5_1.4","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.2_0.5_1.5","real",30.9090909090909,7.64277225743751,"converged and non-converged"
"0.2_0.5_1.6","real",31.6363636363636,7.86397592673672,"converged and non-converged"
"0.2_0.5_1.7","real",29.9090909090909,11.4914087086036,"converged and non-converged"
"0.2_0.5_1.8","real",30.7272727272727,11.101208219629,"converged and non-converged"
"0.2_0.5_1.9","real",31.5454545454545,10.5218496975906,"converged and non-converged"
"0.2_0.5_2","real",29.9090909090909,8.95003391164317,"converged and non-converged"
"0.2_0.6_0.7","real",21.4545454545455,6.53601160043085,"converged and non-converged"
"0.2_0.6_0.8","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.2_0.6_0.9","real",22.3636363636364,7.01889608032639,"converged and non-converged"
"0.2_0.6_1","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_0.6_1.1","real",25.4545454545455,7.53358418542869,"converged and non-converged"
"0.2_0.6_1.2","real",26.8181818181818,5.15553262872478,"converged and non-converged"
"0.2_0.6_1.3","real",28.5454545454545,8.04830068048518,"converged and non-converged"
"0.2_0.6_1.4","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.2_0.6_1.5","real",25.9090909090909,10.2772610340175,"converged and non-converged"
"0.2_0.6_1.6","real",24.9090909090909,9.71189108971832,"converged and non-converged"
"0.2_0.6_1.7","real",26.4545454545455,10.9463804569968,"converged and non-converged"
"0.2_0.6_1.8","real",28.9090909090909,10.4618326531541,"converged and non-converged"
"0.2_0.6_1.9","real",30,9.6132819512078,"converged and non-converged"
"0.2_0.6_2","real",31.4545454545455,7.39931262941377,"converged and non-converged"
"0.2_0.7_0.8","real",21,7.40714673709183,"converged and non-converged"
"0.2_0.7_0.9","real",22.0909090909091,6.28132197500971,"converged and non-converged"
"0.2_0.7_1","real",21.5454545454545,5.70191658166425,"converged and non-converged"
"0.2_0.7_1.1","real",22.6363636363636,7.67630521019664,"converged and non-converged"
"0.2_0.7_1.2","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_0.7_1.3","real",24.5454545454545,7.7482838962682,"converged and non-converged"
"0.2_0.7_1.4","real",23.9090909090909,8.57560969862243,"converged and non-converged"
"0.2_0.7_1.5","real",28.3636363636364,6.17623792001644,"converged and non-converged"
"0.2_0.7_1.6","real",27.3636363636364,7.94468795758419,"converged and non-converged"
"0.2_0.7_1.7","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.2_0.7_1.8","real",27.5454545454545,11.7184461122854,"converged and non-converged"
"0.2_0.7_1.9","real",25.8181818181818,10.4213642648908,"converged and non-converged"
"0.2_0.7_2","real",25.9090909090909,11.1369753947656,"converged and non-converged"
"0.2_0.8_0.9","real",21,7.73222747803968,"converged and non-converged"
"0.2_0.8_1","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.2_0.8_1.1","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.2_0.8_1.2","real",22.2727272727273,6.92501344961367,"converged and non-converged"
"0.2_0.8_1.3","real",23,8.57077755213034,"converged and non-converged"
"0.2_0.8_1.4","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_0.8_1.5","real",24.3636363636364,9.91452538343749,"converged and non-converged"
"0.2_0.8_1.6","real",25,7.44396790884056,"converged and non-converged"
"0.2_0.8_1.7","real",26.8181818181818,5.15553262872478,"converged and non-converged"
"0.2_0.8_1.8","real",28.3636363636364,8.35837128517581,"converged and non-converged"
"0.2_0.8_1.9","real",27.9090909090909,7.57088481572533,"converged and non-converged"
"0.2_0.8_2","real",28.1818181818182,10.6548745712413,"converged and non-converged"
"0.2_0.9_1","real",21.5454545454545,6.7823639167472,"converged and non-converged"
"0.2_0.9_1.1","real",22.8181818181818,6.9082429374852,"converged and non-converged"
"0.2_0.9_1.2","real",22.9090909090909,6.04471257029955,"converged and non-converged"
"0.2_0.9_1.3","real",21.4545454545455,7.0070817375288,"converged and non-converged"
"0.2_0.9_1.4","real",22,6.97627081114113,"converged and non-converged"
"0.2_0.9_1.5","real",22.8181818181818,8.2325241205056,"converged and non-converged"
"0.2_0.9_1.6","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_0.9_1.7","real",23.5454545454545,9.78583085975075,"converged and non-converged"
"0.2_0.9_1.8","real",25.2727272727273,7.78029732511578,"converged and non-converged"
"0.2_0.9_1.9","real",25.4545454545455,8.74305247772815,"converged and non-converged"
"0.2_0.9_2","real",28.3636363636364,6.17623792001644,"converged and non-converged"
"0.2_1_1.1","real",21.6363636363636,8.12616283614756,"converged and non-converged"
"0.2_1_1.2","real",21.4545454545455,6.53601160043085,"converged and non-converged"
"0.2_1_1.3","real",22,6.47487842611052,"converged and non-converged"
"0.2_1_1.4","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.2_1_1.5","real",21.5454545454545,5.70191658166425,"converged and non-converged"
"0.2_1_1.6","real",22.3636363636364,7.01889608032639,"converged and non-converged"
"0.2_1_1.7","real",22.8181818181818,8.69554070074144,"converged and non-converged"
"0.2_1_1.8","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_1_1.9","real",23.9090909090909,9.90700139496386,"converged and non-converged"
"0.2_1_2","real",25.4545454545455,7.53358418542869,"converged and non-converged"
"0.2_1.1_1.2","real",20.7272727272727,6.54614495783403,"converged and non-converged"
"0.2_1.1_1.3","real",21.2727272727273,7.23398194783717,"converged and non-converged"
"0.2_1.1_1.4","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.2_1.1_1.5","real",23.3636363636364,6.43637533887489,"converged and non-converged"
"0.2_1.1_1.6","real",21.8181818181818,6.41574587767147,"converged and non-converged"
"0.2_1.1_1.7","real",22.2727272727273,6.92501344961367,"converged and non-converged"
"0.2_1.1_1.8","real",23.1818181818182,7.71828489686258,"converged and non-converged"
"0.2_1.1_1.9","real",23.3636363636364,9.20919138599527,"converged and non-converged"
"0.2_1.1_2","real",24.7272727272727,8.80255219816281,"converged and non-converged"
"0.2_1.2_1.3","real",21.3636363636364,6.07206435057801,"converged and non-converged"
"0.2_1.2_1.4","real",21,7.40714673709183,"converged and non-converged"
"0.2_1.2_1.5","real",21.6363636363636,7.12201727283236,"converged and non-converged"
"0.2_1.2_1.6","real",22.0909090909091,6.28132197500971,"converged and non-converged"
"0.2_1.2_1.7","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.2_1.2_1.8","real",21.5454545454545,5.70191658166425,"converged and non-converged"
"0.2_1.2_1.9","real",22.1818181818182,7.12899394448679,"converged and non-converged"
"0.2_1.2_2","real",22.6363636363636,7.67630521019664,"converged and non-converged"
"0.2_1.3_1.4","real",21.0909090909091,6.91663327640856,"converged and non-converged"
"0.2_1.3_1.5","real",21.4545454545455,7.83018854844874,"converged and non-converged"
"0.2_1.3_1.6","real",22.6363636363636,5.81130203141647,"converged and non-converged"
"0.2_1.3_1.7","real",21.8181818181818,6.45822193873023,"converged and non-converged"
"0.2_1.3_1.8","real",23.2727272727273,6.44795040628316,"converged and non-converged"
"0.2_1.3_1.9","real",21.1818181818182,5.54724451859993,"converged and non-converged"
"0.2_1.3_2","real",21.1818181818182,5.8510864707657,"converged and non-converged"
"0.2_1.4_1.5","real",21.2727272727273,7.49388703697219,"converged and non-converged"
"0.2_1.4_1.6","real",21,7.73222747803968,"converged and non-converged"
"0.2_1.4_1.7","real",21.4545454545455,6.53601160043085,"converged and non-converged"
"0.2_1.4_1.8","real",21.3636363636364,7.80581353679623,"converged and non-converged"
"0.2_1.4_1.9","real",23.0909090909091,5.63908765237856,"converged and non-converged"
"0.2_1.4_2","real",21.9090909090909,6.41057813951705,"converged and non-converged"
"0.2_1.5_1.6","real",22.1818181818182,8.04212156196929,"converged and non-converged"
"0.2_1.5_1.7","real",21.7272727272727,7.65035706199812,"converged and non-converged"
"0.2_1.5_1.8","real",21.1818181818182,7.25571081773908,"converged and non-converged"
"0.2_1.5_1.9","real",21.5454545454545,7.23741715908635,"converged and non-converged"
"0.2_1.5_2","real",22,6.14260901975864,"converged and non-converged"
"0.2_1.6_1.7","real",22.0909090909091,8.12820176801659,"converged and non-converged"
"0.2_1.6_1.8","real",21.5454545454545,6.7823639167472,"converged and non-converged"
"0.2_1.6_1.9","real",21.2727272727273,7.33407953800171,"converged and non-converged"
"0.2_1.6_2","real",22.8181818181818,6.9082429374852,"converged and non-converged"
"0.2_1.7_1.8","real",22.3636363636364,8.15974006219706,"converged and non-converged"
"0.2_1.7_1.9","real",20.7272727272727,6.54614495783403,"converged and non-converged"
"0.2_1.7_2","real",21,7.40714673709183,"converged and non-converged"
"0.2_1.8_1.9","real",20.6363636363636,7.24885610594175,"converged and non-converged"
"0.2_1.8_2","real",21.6363636363636,8.12616283614756,"converged and non-converged"
"0.2_1.9_2","real",20.6363636363636,7.24885610594175,"converged and non-converged"
